"Name","2021-01-02","2021-01-03","2021-01-06","2021-01-09","2021-01-12","2021-01-15","2021-01-16","2021-01-18","2021-01-20","2021-01-21"
"210","13630","13630","13630","13590","13580","12170","12120","12030","12090","12090"
"gt-1030","25380","25380","25230","25100","25320","24390","24990","24990","25970","26100"
"gt-710","12020","12020","11490","11610","11930","12000","11840","12000","11900","12307"
"gt-730","18990","20080","19640","19400","19850","19780","19780","20080","19880","20080"
"gtx-1050","54990","54990","51480","41815","54990","54990","54730","54990","54780","54990"
"gtx-1050-ti","49199","49199","55190","56990","58990","51275","58990","61631","58558","58558"
"gtx-1060","179924","179924","90330","179924","179924","174701","174701","174701","174701","174701"
"gtx-1070","179990","179990","179990","179990","179990","",,,,
"gtx-1650","52990","59900","59900","57900","57900","66990","67380","71600","70270","73170"
"gtx-1650-super","65900","65900","65900","65900","65900","134946","133789","133789","109900","109900"
"gtx-1660","89990","89990","89990","76900","76900","","139900","124990","119900","85366"
"gtx-1660-super","91900","91900","91900","110900","110900","99140","149990","134990","139990","132990"
"gtx-1660-ti","112070","112070","128990","118140","118140","119322","118140","118140","102246","102246"
"p1000","117296","116107","115460","114370","117900","115912","115912","121000","121000","122961"
"p2000","173580","173580","170980","170880","170150","170580","168010","170150","168450","173300"
"p2200","168420","168376","165890","165771","164440","168530","164440","165740","164080","168410"
"p4000","303070","303070","298520","298409","298409","274900","274900","274900","274900","274900"
"p620","70450","70450","70450","69880","72320","64654","64642","64699","64699","71730"
"r7-240","26420","26420","25780","25780","26160","27840","27420","27840","27560","27840"
"rtx-2060","135900","135900","135900","135900","135900","","",,"","112436"
"rtx-2070-super",,,,,,,"",,,"189930"
"rtx-2080-super","242820","242820","242820","242820","242820",,"",,"356390","309451"
"rtx-2080-ti","499990","499990","499990","499990","499990","399990","399990","499990","499990","499990"
"rtx-3060-ti","256990","256990","256990","239990","269990","299990","355990","","359990",""
"rtx-3070","293990","293990","257590","278240","299000","304990","309990","344990","329900","339900"
"rtx-3080","447990","447990","470056","409990","489990","","529990","529990","","559990"
"rtx-3090","641390","641390","641390","649786","735330","735330","643306","771990","769990","769990"
"rtx-4000","339049","336027","339049","336027","336027","336027","337000","338000","345280","354211"
"rtx-5000","786520","786520","774720","774720","786520","786520","774720","786520","778650","786520"
"rtx-6000","1800749","1800749","1779913","1733180","1778398","1772368","1746990","1772024","1754300","2490720"
"rtx-8000",,,,"2064090",,,"2078080","","2080020",
"rx-550","26190","27150","22290","28470","28900","29630","29620","29520","27189","26895"
"rx-5500-xt","76590","76590","76590","76590","76590","","109440","85500","105875","118900"
"rx-5600","157350","157350","157790","191880","177000","177000",,"227660","","207506"
"rx-5600-xt","131690","131690","131690","131690","131690","","172500",,,
"rx-570","65400","65400","64880","63900","63900","","126760","126760","125490",
"rx-5700","145900","145900","145900","145900","145900","",,,,
"rx-5700-xt","199900","199900","199000","162900","266680",,,"327699",,
"rx-580","77990","77990","81990","110840","110990","","128790","153471","120520",""
"rx-6800","416090","416090","415460","389900","389900","435900","389900","389900","392580","409990"
"rx-vega-56","161710","161710","161710","161710",,,,,,
"wx-2100","55190","55190","54990","52490","52780","52790","52790","52790","52890","52590"
"wx-3100","68090","68090","67790","67190","67490","67490","67490","79190","79190","79190"
"wx-3200","71250","71250","71250","67090","67390","69780","71610","72100","72280","67190"
"wx-4100","106990","106990","106990","102990","103990","103990","103990","103990","104990","104990"
"wx-5100","152280","152280","152280","152280","152230","153630","146490","146790","146990","146090"
"wx-7100",,,,,"285013","427566","283986","284239","283962","283962"
"wx-8200","401890","401890","401890","399720","394310","401900","403680","403680","407340","403680"
