"Name","Value"
"210","13590"
"gt-1030","25100"
"gt-710","11610"
"gt-730","19400"
"gtx-1050","41815"
"gtx-1050-ti","56990"
"gtx-1060","179924"
"gtx-1070","179990"
"gtx-1650","57900"
"gtx-1650-super","65900"
"gtx-1660","76900"
"gtx-1660-super","110900"
"gtx-1660-ti","118140"
"p1000","114370"
"p2000","170880"
"p2200","165771"
"p4000","298409"
"p620","69880"
"r7-240","25780"
"rtx-2060","135900"
"rtx-2080-super","242820"
"rtx-2080-ti","499990"
"rtx-3060-ti","239990"
"rtx-3070","278240"
"rtx-3080","409990"
"rtx-3090","649786"
"rtx-4000","336027"
"rtx-5000","774720"
"rtx-6000","1733180"
"rtx-8000","2064090"
"rx-550","28470"
"rx-5500-xt","76590"
"rx-5600","191880"
"rx-5600-xt","131690"
"rx-570","63900"
"rx-5700","145900"
"rx-5700-xt","162900"
"rx-580","110840"
"rx-6800","389900"
"rx-vega-56","161710"
"wx-2100","52490"
"wx-3100","67190"
"wx-3200","67090"
"wx-4100","102990"
"wx-5100","152280"
"wx-8200","399720"
