"Name","Value"
"210","20880"
"gt-1030","40400"
"gt-710","22405"
"gt-730","26999"
"gtx-1050-ti","77900"
"gtx-1060","193750"
"gtx-1650","88113"
"gtx-1650-super","145800"
"gtx-1660","124990"
"gtx-1660-super","120650"
"gtx-1660-ti","125995"
"p1000","143082"
"p2000","226260"
"p2200","279080"
"p400","45900"
"p620","73470"
"r7-240","46786"
"rtx-2060","149640"
"rtx-2060-super","215990"
"rtx-3050","144394"
"rtx-3060","183890"
"rtx-3060-ti","225099"
"rtx-3070","272899"
"rtx-3070-ti","317948"
"rtx-3080","397599"
"rtx-3080-ti","528060"
"rtx-3090","698050"
"rtx-3090-ti","839808"
"rtx-4000","393700"
"rtx-5000","759714"
"rtx-8000","2938915"
"rx-550","39999"
"rx-560","66900"
"rx-580","103367"
"rx-6400","70390"
"rx-6500-xt","79765"
"rx-6600","139393"
"rx-6600-xt","169990"
"rx-6650-xt","184572"
"rx-6700-xt","227924"
"rx-6750-xt","249468"
"rx-6800","284140"
"rx-6800-xt","369921"
"rx-6900-xt","351010"
"rx-6950-xt","510150"
"wx-2100","75590"
"wx-3100","105990"
"wx-3200","105900"
"wx-5100","228990"
